id, ISIN,period,date_start,date_end,PL,perf,perfann,vol,maxDD
5,LU0572952280,2012,30/12/2011,31/12/2012,2.82,0.113389626055489,0.113389626055489,0.126303672253121,-0.0967302452316077
5,LU0572952280,2013,31/12/2012,31/12/2013,5.68,0.205128205128205,0.205128205128205,0.122766115808303,-0.0877862595419848
5,LU0572952280,2014,31/12/2013,31/12/2014,8.53,0.255618819298771,0.255618819298771,0.140774169510247,-0.0846411113969642
5,LU0572952280,2015,31/12/2014,31/12/2015,6.68,0.159427207637231,0.159427207637231,0.221735381607066,-0.0846411113969642
5,LU0572952280,2016,31/12/2015,11/02/2016,-8.79,-0.180938657883903,-0.823526911150533,0.2988800826292,-0.190786791683653
6,LU0243955530,Global,31/12/2010,11/02/2016,-1.53,-0.135039717563989,-0.0279484577668851,0.173053492590435,-0.29040404040404
6,LU0243955530,2011,31/12/2010,30/12/2011,-1.72,-0.151809355692851,-0.151809355692851,0.230351127538807,-0.29040404040404
6,LU0243955530,2012,30/12/2011,31/12/2012,0.75,0.0780437044745057,0.0780437044745057,0.135657728731461,-0.114877589453861
6,LU0243955530,2013,31/12/2012,31/12/2013,-1.06,-0.102316602316602,-0.102316602316602,0.132835806277741,-0.16651418115279
6,LU0243955530,2014,31/12/2013,31/12/2014,1.68,0.180645161290323,0.180645161290323,0.111044961596277,-0.0801457194899818
6,LU0243955530,2015,31/12/2014,31/12/2015,0.309999999999999,0.0282331511839706,0.0282331511839706,0.212631637006457,-0.0801457194899818
6,LU0243955530,2016,31/12/2015,11/02/2016,-1.49,-0.131975199291408,-0.707709317044246,0.236226860644606,-0.231508875739645
7,FR0000003964,Global,31/12/2010,11/02/2016,671.130000000001,0.0288972391905002,0.00558188571674978,0.00037588462556964,0
7,FR0000003964,2011,31/12/2010,30/12/2011,276.139999999999,0.0118899224145317,0.0118899224145317,0.000512575834995973,0
7,FR0000003964,2012,30/12/2011,31/12/2012,186.760000000002,0.00794694659980388,0.00794694659980388,0.00037130151217624,0
7,FR0000003964,2013,31/12/2012,31/12/2013,75.8400000000001,0.00320167378642244,0.00320167378642244,0.000130557640230871,0
